show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s8365,TV Show,Lost Kingdom,,"Diego Sato, Yuki Wang, Raj Tanaka, Liam Brown, Ahmed Khan",India,"June 16, 2020",2019,TV-MA,1 Season,"British TV Shows, TV Dramas",A gripping story about love.
s5294,TV Show,Lost Summer,,"Diego Kumar, Diego Tanaka, Raj Garcia, Maria Ali",United States,"November 14, 2009",2007,TV-Y,1 Season,Anime Series,A sweeping story about revenge.
s6931,Movie,Frozen Empire II,Grace Hassan,"Omar Kumar, Fatima Khan, Chen Ali, Liam Khan",United States,"January 5, 2008",2003,NR,97 min,Horror Movies,A sweeping story about survival.
s7760,Movie,Endless Empire Forever,Yuki Sato,"Maria Khan, Fatima Garcia, Chen Tanaka",India,"September 15, 2014",2011,R,102 min,"Documentaries, International Movies",A hilarious story about family.
s3313,TV Show,Burning Dream,,"Raj Wilson, Elena Wang, John Brown, Chen Wang, Ahmed Rossi, Sofia Khan, Yuki Garcia",India,"April 10, 2008",2003,TV-Y7,1 Season,Docuseries,A sweeping story about ambition.
s2885,Movie,Frozen Horizon,Fatima Tanaka,,United States,"October 19, 2021",2021,TV-PG,120 min,"Dramas, Independent Movies",A gripping story about survival.
s1517,Movie,Burning Story 2,Anna Sato,"Fatima Novak, Yuki Khan, Fatima Rossi, Aarav Lopez, Grace Wang, Ahmed Lopez",Spain,"October 17, 2010",2008,TV-MA,97 min,"Dramas, International Movies",A chilling story about love.
s2481,Movie,Silent Promise,Sofia Wang,"Fatima Tanaka, Maria Sato, Ahmed Wilson, Raj Petrov, Liam Garcia, Fatima Brown",,"February 2, 2021",2021,R,91 min,Thrillers,A hilarious story about love.
s3292,Movie,Wild Dream 2,Diego Rossi,"Maria Brown, Fatima Hassan, Yuki Garcia, Ahmed Garcia",India,"August 23, 2017",2016,TV-MA,119 min,Comedies,A hilarious story about family.
s5000,TV Show,Crimson Shadow,,"Grace Brown, John Hassan, John Lopez, Raj Brown, Diego Smith, Fatima Sharma, John Wang, Anna Tanaka",Pakistan,"January 19, 2013",2012,TV-Y7,2 Seasons,Anime Series,A hilarious story about family.
s4236,Movie,Golden Shadow,John Wilson,,United States,"July 12, 2021",2021,TV-G,71 min,"Dramas, Independent Movies",A heartfelt story about family.
s2513,TV Show,Secret Dream,,,United States,"October 5, 2017",2012,TV-G,2 Seasons,Reality TV,A sweeping story about love.
s6076,Movie,Hidden Empire 2,Hiroshi Wang,"Grace Wilson, Raj Khan, Aarav Kumar, Omar Brown, Diego Smith, Aarav Hassan",,"December 24, 2020",2020,NR,129 min,Horror Movies,A sweeping story about ambition.
s3301,TV Show,Silent Heart,,"Ahmed Petrov, Maria Brown, John Sato, Diego Novak, Raj Smith, Elena Petrov",South Korea,"November 12, 2021",2021,TV-MA,1 Season,Reality TV,A sweeping story about family.
