show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,duration_number,duration_unit
s8365,TV Show,Lost Kingdom,Unknown,"Diego Sato, Yuki Wang, Raj Tanaka, Liam Brown, Ahmed Khan",India,2020-06-16,2019,TV-MA,1 Season,"British TV Shows, TV Dramas",A gripping story about love.,2020,June,1,Season
s5294,TV Show,Lost Summer,Unknown,"Diego Kumar, Diego Tanaka, Raj Garcia, Maria Ali",United States,2009-11-14,2007,TV-Y,1 Season,Anime Series,A sweeping story about revenge.,2009,November,1,Season
s6931,Movie,Frozen Empire II,Grace Hassan,"Omar Kumar, Fatima Khan, Chen Ali, Liam Khan",United States,2008-01-05,2003,NR,97 min,Horror Movies,A sweeping story about survival.,2008,January,97,min
s7760,Movie,Endless Empire Forever,Yuki Sato,"Maria Khan, Fatima Garcia, Chen Tanaka",India,2014-09-15,2011,R,102 min,"Documentaries, International Movies",A hilarious story about family.,2014,September,102,min
s3313,TV Show,Burning Dream,Unknown,"Raj Wilson, Elena Wang, John Brown, Chen Wang, Ahmed Rossi, Sofia Khan, Yuki Garcia",India,2008-04-10,2003,TV-Y7,1 Season,Docuseries,A sweeping story about ambition.,2008,April,1,Season
s2885,Movie,Frozen Horizon,Fatima Tanaka,Unknown,United States,2021-10-19,2021,TV-PG,120 min,"Dramas, Independent Movies",A gripping story about survival.,2021,October,120,min
s1517,Movie,Burning Story 2,Anna Sato,"Fatima Novak, Yuki Khan, Fatima Rossi, Aarav Lopez, Grace Wang, Ahmed Lopez",Spain,2010-10-17,2008,TV-MA,97 min,"Dramas, International Movies",A chilling story about love.,2010,October,97,min
s2481,Movie,Silent Promise,Sofia Wang,"Fatima Tanaka, Maria Sato, Ahmed Wilson, Raj Petrov, Liam Garcia, Fatima Brown",Unknown,2021-02-02,2021,R,91 min,Thrillers,A hilarious story about love.,2021,February,91,min
s3292,Movie,Wild Dream 2,Diego Rossi,"Maria Brown, Fatima Hassan, Yuki Garcia, Ahmed Garcia",India,2017-08-23,2016,TV-MA,119 min,Comedies,A hilarious story about family.,2017,August,119,min
s5000,TV Show,Crimson Shadow,Unknown,"Grace Brown, John Hassan, John Lopez, Raj Brown, Diego Smith, Fatima Sharma, John Wang, Anna Tanaka",Pakistan,2013-01-19,2012,TV-Y7,2 Seasons,Anime Series,A hilarious story about family.,2013,January,2,Seasons
s4236,Movie,Golden Shadow,John Wilson,Unknown,United States,2021-07-12,2021,TV-G,71 min,"Dramas, Independent Movies",A heartfelt story about family.,2021,July,71,min
s2513,TV Show,Secret Dream,Unknown,Unknown,United States,2017-10-05,2012,TV-G,2 Seasons,Reality TV,A sweeping story about love.,2017,October,2,Seasons
s6076,Movie,Hidden Empire 2,Hiroshi Wang,"Grace Wilson, Raj Khan, Aarav Kumar, Omar Brown, Diego Smith, Aarav Hassan",Unknown,2020-12-24,2020,NR,129 min,Horror Movies,A sweeping story about ambition.,2020,December,129,min
s3301,TV Show,Silent Heart,Unknown,"Ahmed Petrov, Maria Brown, John Sato, Diego Novak, Raj Smith, Elena Petrov",South Korea,2021-11-12,2021,TV-MA,1 Season,Reality TV,A sweeping story about family.,2021,November,1,Season
s5944,Movie,Broken Kingdom,John Smith,"Diego Novak, Anna Sharma, Grace Tanaka, Diego Brown, Hiroshi Sharma, Maria Novak",United Kingdom,2013-11-26,2013,NR,109 min,Children & Family Movies,A heartfelt story about revenge.,2013,November,109,min
s5560,Movie,Rising Journey,John Hassan,"Anna Petrov, Fatima Brown, Anna Rossi, Fatima Smith, Yuki Sato, Liam Ali, Omar Smith",United States,2013-01-27,2013,TV-MA,96 min,Comedies,A sweeping story about ambition.,2013,January,96,min
s192,TV Show,Frozen City,Unknown,Unknown,India,2020-03-15,2018,TV-Y7,5 Seasons,Anime Series,A sweeping story about survival.,2020,March,5,Seasons
s5999,Movie,Endless Dream,Raj Ali,"Raj Khan, Liam Lopez, Fatima Tanaka",United States,2008-07-08,1999,TV-PG,108 min,"Dramas, International Movies",A chilling story about family.,2008,July,108,min
s3334,Movie,Rising Road II,Maria Kumar,"Omar Lopez, Fatima Sato, Aarav Rossi, Chen Garcia, Fatima Smith, Raj Lopez, Fatima Rossi",Germany,2016-08-08,2011,R,82 min,Children & Family Movies,A chilling story about revenge.,2016,August,82,min
s1986,Movie,Burning Journey 2,John Sharma,"Aarav Khan, Omar Wang, Chen Wilson, Raj Wilson, Anna Rossi, Sofia Khan, Fatima Hassan, Sofia Rossi",France,2011-01-14,2010,TV-MA,102 min,Action & Adventure,A hilarious story about revenge.,2011,January,102,min
s3165,Movie,Endless Shadow Forever,Liam Kumar,"Elena Tanaka, Sofia Novak, Aarav Kumar, Yuki Garcia",United States,2018-04-21,2018,TV-MA,90 min,"Comedies, International Movies",A sweeping story about family.,2018,April,90,min
s6738,Movie,Burning River Forever,Liam Wilson,"Fatima Lopez, Anna Petrov, Omar Tanaka",India,2012-11-16,2009,TV-PG,80 min,Children & Family Movies,A gripping story about survival.,2012,November,80,min
s2375,Movie,Secret Summer,Aarav Kumar,Unknown,United Kingdom,2017-05-28,2017,G,103 min,"Comedies, International Movies",A gripping story about love.,2017,May,103,min
s7595,Movie,Endless Journey Begins,Chen Sharma,"Anna Khan, Raj Ali, Hiroshi Sharma, Diego Brown, Liam Smith, Elena Smith",Mexico,2013-02-05,2013,R,131 min,Thrillers,A heartfelt story about ambition.,2013,February,131,min
s7567,Movie,Distant Kingdom,Sofia Ali,"Aarav Hassan, Chen Sato, Chen Tanaka, Raj Hassan",Turkey,2019-12-20,2019,TV-MA,103 min,Children & Family Movies,A sweeping story about survival.,2019,December,103,min
s4707,Movie,Endless Empire,Aarav Brown,Unknown,France,2021-02-27,2021,TV-G,120 min,Thrillers,A gripping story about love.,2021,February,120,min
s793,Movie,Wild Dream II,Yuki Hassan,"Elena Garcia, Maria Petrov, Maria Sato, Chen Tanaka",United States,2018-06-19,2013,R,111 min,Documentaries,A heartfelt story about ambition.,2018,June,111,min
s4628,Movie,Wild Night,Maria Tanaka,"Hiroshi Petrov, Sofia Hassan, Hiroshi Smith, Yuki Smith, Ahmed Petrov, Fatima Brown, Maria Tanaka, Fatima Ali",United States,2021-06-05,2021,TV-MA,62 min,"Dramas, International Movies",A chilling story about love.,2021,June,62,min
s3985,Movie,Crimson River,Unknown,"Aarav Wilson, Diego Sato, John Wilson",Japan,2011-02-05,2011,PG-13,120 min,Action & Adventure,A chilling story about love.,2011,February,120,min
s7846,Movie,Broken Empire,Diego Novak,"Ahmed Brown, Omar Tanaka, John Sharma, Omar Lopez",South Korea,2008-02-20,2008,TV-MA,82 min,Horror Movies,A hilarious story about ambition.,2008,February,82,min
